City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,narok,-1.0783,35.8601,17.12,61,99,1.09,KE,1724183093
181,trevelin,-43.0858,-71.4639,7.66,61,93,1.56,AR,1724183095
182,tazovsky,67.4667,78.7,8.27,87,74,1.06,RU,1724183096
183,mongo,12.1844,18.693,24.57,85,100,2.02,TD,1724183097
184,port-vila,-17.7338,168.3219,21.78,100,100,1.54,VU,1724183098
185,lengshuitan,26.4111,111.5956,25.5,90,100,1.54,CN,1724183099
186,gadzhiyevo,69.2551,33.3362,10.52,79,8,2.95,RU,1724183100
187,khandyga,62.6667,135.6,9.47,95,26,0.42,RU,1724183101
188,sangkhla buri,15.1555,98.4536,22.9,99,100,0.3,TH,1724183102
189,ghat,24.9647,10.1728,37.85,11,0,3.02,LY,1724183104
190,grand island,40.925,-98.342,25.97,61,75,7.2,US,1724182994
191,pueblo,38.2545,-104.6091,36.43,39,1,3.75,US,1724183106
192,kapa'a,22.0752,-159.319,27.28,74,75,5.66,US,1724183107
193,hamilton,39.1834,-84.5333,23.21,49,40,7.2,US,1724183106
194,souillac,-20.5167,57.5167,21.21,73,40,6.69,MU,1724183109
195,shar,49.5886,81.0453,19.68,37,54,2.27,KZ,1724183110
196,colonia menno,-22.3667,-59.8167,35.1,28,69,5.12,PY,1724183113
197,dampit,-8.2116,112.7493,18.72,95,34,2.04,ID,1724183114
198,puerto baquerizo moreno,-0.9,-89.6,24.55,61,75,7.72,EC,1724182778
199,saldanha,-33.0117,17.9442,11.03,93,1,4.8,ZA,1724183116
200,hasaki,35.7333,140.8333,25.27,90,45,4.65,JP,1724183117
201,ascension,30.2169,-90.9001,34.49,50,0,2.06,US,1724183118
202,borogontsy,62.6683,131.1683,11.26,98,100,1.66,RU,1724183119
203,kavieng,-2.5744,150.7967,27.16,80,58,4.53,PG,1724183120
204,fabens,31.5023,-106.1586,34.55,18,94,3.5,US,1724183121
205,arkhangel'sk,64.5401,40.5433,13.06,100,40,3.0,RU,1724183123
206,saint-francois,46.4154,3.9054,19.69,71,0,1.03,FR,1724183124
207,merizo village,13.2658,144.6691,25.88,93,99,3.5,GU,1724183125
208,guerrero negro,27.9769,-114.0611,30.62,46,51,4.56,MX,1724183126
209,bodo,67.28,14.405,17.19,67,75,7.2,NO,1724183127
210,qaqortoq,60.7167,-46.0333,6.17,75,2,2.11,GL,1724183128
211,vernon,50.2581,-119.2691,25.97,32,19,1.03,CA,1724182760
212,uray,60.1247,64.7758,16.26,59,97,1.86,RU,1724183130
213,altai,46.3722,96.2583,16.38,56,100,1.89,MN,1724183132
214,opuwo,-18.0607,13.84,21.25,13,0,2.7,NA,1724183133
215,georgetown,5.4112,100.3354,26.96,88,20,2.57,MY,1724182901
216,bikenibeu village,1.3673,173.1241,27.98,74,75,2.06,KI,1724183135
217,timmins,48.4669,-81.3331,17.9,42,75,6.17,CA,1724183136
218,coahuayana de hidalgo,18.7,-103.6583,33.62,51,85,3.09,MX,1724183137
219,mount pearl,47.5166,-52.7813,25.81,80,40,10.8,CA,1724183124
220,maebashi,36.3911,139.0608,24.49,84,98,0.69,JP,1724183139
221,kolosovka,56.4678,73.611,11.58,93,6,2.52,RU,1724183140
222,cole harbour,44.6724,-63.4751,23.85,95,100,3.6,CA,1724183142
223,villa bruzual,9.3328,-69.1208,32.19,54,90,3.0,VE,1724183143
224,praia da vitoria,38.7333,-27.0667,26.53,73,20,2.48,PT,1724183144
225,alice springs,-23.7,133.8833,9.75,62,0,2.57,AU,1724183145
226,international falls,48.6011,-93.411,25.08,60,0,4.12,US,1724183146
227,gubin,51.9496,14.7284,19.64,73,9,2.88,PL,1724183147
228,goderich,43.7501,-81.7165,18.18,63,20,7.2,CA,1724183148
229,balykchy,42.4557,76.1861,16.0,73,0,0.89,KG,1724183149
230,selfoss,63.9331,-20.9971,13.36,71,61,1.39,IS,1724183150
231,bay city,43.5945,-83.8889,21.14,52,20,3.6,US,1724182878
232,elliot lake,46.3834,-82.6331,20.77,28,6,5.02,CA,1724183153
233,sarandi del yi,-33.35,-55.6333,12.75,86,96,6.77,UY,1724183154
234,markovo,57.3206,107.0881,12.01,96,0,1.04,RU,1724183155
235,mahina,-17.5065,-149.489,26.87,50,75,4.63,PF,1724183156
236,sinabang,2.4803,96.3801,25.66,79,100,3.45,ID,1724183157
237,port lincoln,-34.7333,135.8667,12.58,87,97,4.78,AU,1724183158
238,bubaque,11.2833,-15.8333,26.83,85,100,6.89,GW,1724182767
239,lillehammer,61.1146,10.4674,14.3,98,100,4.86,NO,1724183162
240,hadibu,12.65,54.0333,26.06,77,19,9.56,YE,1724183163
241,westport,41.1415,-73.3579,22.64,53,0,5.66,US,1724183165
242,karratha,-20.7377,116.8463,18.86,63,5,2.09,AU,1724183166
243,gizo,-8.103,156.8419,26.96,80,68,4.13,SB,1724183167
244,cabo san lucas,22.8909,-109.9124,33.17,51,20,5.14,MX,1724183051
245,vinhais,41.8351,-7.005,21.21,52,0,2.8,PT,1724183171
246,nova vicosa,-17.8919,-39.3719,25.1,65,17,4.78,BR,1724183172
247,maragogi,-9.0122,-35.2225,24.15,80,9,2.67,BR,1724183173
248,raj-nandgaon,21.1,81.0333,25.55,89,100,2.75,IN,1724183174
249,senahu,15.4,-89.8333,21.89,86,54,1.67,GT,1724183175
250,al abyar,32.19,20.5965,26.25,64,0,3.43,LY,1724183176
251,kavaratti,10.5669,72.642,25.9,90,100,8.32,IN,1724183178
252,alo,6.5486,4.2686,24.32,89,100,2.96,NG,1724183179
253,sisimiut,66.9395,-53.6735,6.53,68,71,8.22,GL,1724182740
254,warrnambool,-38.3833,142.4833,12.5,84,91,6.74,AU,1724183181
255,codrington,-38.2667,141.9667,11.49,90,96,5.78,AU,1724183183
256,kingston,17.997,-76.7936,34.53,63,20,11.32,JM,1724182929
257,dryden,49.7833,-92.7503,23.16,56,0,3.09,CA,1724183185
258,hilo,19.7297,-155.09,29.41,80,80,1.34,US,1724182981
259,padre bernardo,-15.35,-48.5,32.56,12,42,3.89,BR,1724183188
260,knysna,-34.0363,23.0471,13.71,91,1,1.66,ZA,1724183189
261,hannibal,39.7084,-91.3585,26.86,47,40,1.54,US,1724183190
262,yibin,28.7667,104.6238,26.6,74,53,0.62,CN,1724183191
263,constantia,44.1833,28.65,24.38,68,82,2.8,RO,1724183045
264,tofol,5.3248,163.0078,28.01,74,89,3.37,FM,1724183194
265,el abiodh sidi cheikh,32.893,0.5484,32.61,16,44,4.5,DZ,1724183195
266,tura,25.5198,90.2201,23.37,99,73,1.87,IN,1724183197
267,crane,31.3974,-102.3501,37.47,18,100,7.21,US,1724183198
268,urla,38.3229,26.764,25.78,52,0,1.0,TR,1724183199
269,kristiansund,63.1115,7.732,15.36,94,75,2.57,NO,1724183200
270,puerto francisco de orellana,-0.4667,-76.9667,33.03,55,75,1.03,EC,1724183201
271,berdigestyakh,62.0989,126.6992,16.45,69,100,1.75,RU,1724183202
272,newman,37.3138,-121.0208,35.41,13,0,2.89,US,1724182748
273,palapag,12.5458,125.1147,24.77,94,100,1.22,PH,1724183204
274,saipan,15.1355,145.701,26.39,83,40,5.66,MP,1724183206
275,orchard homes,46.8633,-114.0484,26.62,42,58,0.45,US,1724183207
